Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,,,
TwinsUK,OTU,4365130,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis,0.083466985,0.205058079,Obese,0.8943,2.38E-15,(0?0),0.055820773,(0?0.15),0.944179227,(0.85?1),-0.038220567,0.127089345,-0.330619823,,,
TwinsUK,Class,k__Bacteria.p__Actinobacteria.c__Coriobacteriia,NA,0.085178088,0.207578772,Lean,0.4804,0.009367023,(0?0.15),0.008463882,(0?0.11),0.982169095,(0.85?1),0.017417171,0.013738554,0.007357234,,,
TwinsUK,Order,k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales,NA,0.085178088,0.207578772,Lean,0.4804,0.009367023,(0?0.15),0.008463882,(0?0.11),0.982169095,(0.85?1),0.017417171,0.013738554,0.007357234,,,
TwinsUK,Family,k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae,NA,0.085178088,0.207578772,Lean,0.4804,0.009367023,(0?0.15),0.008463882,(0?0.11),0.982169095,(0.85?1),0.017417171,0.013738554,0.007357234,,,
TwinsUK,OTU,178485,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.086716926,0.210763866,Lean,0.1412,0.082005242,(0?0.21),1.90E-12,(0?0.13),0.917994758,(0.79?1),0.104596077,0.006466972,0.196258212,,,
TwinsUK,OTU,178242,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.087041495,0.210988583,Lean,0.3701,0.063033027,(0?0.22),0.022558148,(0?0.16),0.914408825,(0.78?1),0.085893976,0.05719979,0.057388372,,,
TwinsUK,OTU,157453,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.089139942,0.215500551,Lean,0.286,0.114404734,(0?0.27),0.028717107,(0?0.2),0.856878159,(0.73?0.98),0.145693634,0.077882453,0.135622362,,,
TwinsUK,OTU,194177,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.089766348,0.216439284,Obese,0.1128,0.001163849,(0?0.13),0,(0?0.08),0.998836151,(0.87?1),0.053667148,-0.066821873,0.240978041,,,
TwinsUK,OTU,182255,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.092114107,0.221512495,Obese,0.6961,4.83E-13,(0?0.19),0.062268253,(0?0.16),0.937731747,(0.81?1),0.05346096,0.072456969,-0.037992018,,,
TwinsUK,OTU,312882,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.092978137,0.223000335,Lean,0.0959,0.235448966,(0?0.35),5.47E-12,(0?0.22),0.764551034,(0.65?0.9),0.244525035,0.106840603,0.275368862,,,
TwinsUK,OTU,189459,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.093475834,0.223017148,Lean,0.2491,0.039759206,(0?0.17),1.30E-13,(0?0),0.960240794,(0.83?1),0.061726651,-0.004799787,0.133052877,,,
TwinsUK,OTU,3600504,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.093332887,0.223017148,Obese,1,0,(0?0),0,(0?0),1,(1?1),-0.062329318,0.024973336,-0.174605307,,,
TwinsUK,OTU,197274,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.093801308,0.223207825,Lean,0.2086,0.153496059,(0?0.4),0.129622267,(0?0.32),0.716881674,(0.6?0.84),0.298174208,0.195618924,0.205110567,,,
TwinsUK,Genus,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium,NA,0.094145406,0.223441708,Obese,0.0423,0.311871721,(0.11?0.44),0.010502735,(0?0.15),0.677625544,(0.56?0.79),0.385807217,0.079354505,0.612905424,,,
TwinsUK,OTU,332732,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.095055431,0.225014029,Lean,0.176,0.119618087,(0?0.25),2.50E-11,(0?0.17),0.880381913,(0.75?1),0.12352371,0.053943463,0.139160495,,,
TwinsUK,Order,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales,NA,0.096762929,0.227869178,Obese,0.0147,0.328301166,(0.12?0.44),2.03E-12,(0?0.15),0.671698834,(0.56?0.79),0.385167012,0.081249426,0.607835172,,,
TwinsUK,Family,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae,NA,0.096762929,0.227869178,Obese,0.0147,0.328301166,(0.12?0.44),2.03E-12,(0?0.15),0.671698834,(0.56?0.79),0.385167012,0.081249426,0.607835172,,,
TwinsUK,OTU,191683,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.097542749,0.229112038,Obese,0.1201,0.024670615,(0?0.15),1.53E-14,(0?0.09),0.975329385,(0.85?1),0.070574823,-0.050056246,0.241262138,,,
TwinsUK,OTU,2119695,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.098006438,0.229607867,Lean,0.4053,0.045179484,(0?0.23),0.047861568,(0?0.17),0.906958948,(0.77?1),0.093560407,0.073474883,0.040171048,,,
TwinsUK,Family,k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae.,NA,0.098474899,0.230112296,Lean,0.2254,0.138939096,(0?0.26),5.44E-11,(0?0),0.861060904,(0.74?0.99),0.143766644,0.068291717,0.150949854,,,
TwinsUK,OTU,191872,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.098751006,0.230165807,Obese,0.0358,0.089647616,(0?0.21),0,(0?0),0.910352384,(0.79?1),0.149450614,-0.043967457,0.386836142,,,
TwinsUK,OTU,182036,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.099502735,0.231324774,Lean,0.2481,0.142014307,(0?0.29),0.01742377,(0?0.2),0.840561923,(0.71?0.97),0.154973347,0.090915391,0.128115913,,,
TwinsUK,OTU,178462,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.099983991,0.231850633,Obese,0.3088,0.105983569,(0?0.27),0.036668074,(0?0.2),0.857348357,(0.73?0.98),0.153129793,0.087693963,0.130871659,,,
TwinsUK,OTU,188079,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.100784449,0.233112123,Obese,0.2917,0.114746968,(0?0.26),0.019756391,(0?0.19),0.865496641,(0.74?0.99),0.135559877,0.079824454,0.111470846,,,
TwinsUK,OTU,185420,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.101658675,0.234110269,Lean,0.0368,0.229004307,(0.01?0.34),6.51E-16,(0?0.16),0.770995693,(0.66?0.89),0.287288793,0.038878515,0.496820557,,,
TwinsUK,OTU,356745,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.101731085,0.234110269,Obese,0.5525,1.15E-11,(0?0.2),0.059887706,(0?0.15),0.940112294,(0.8?1),0.06014066,0.063523212,-0.006765104,,,
TwinsUK,OTU,3756485,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.102072686,0.234303212,Lean,0.2604,0.120172982,(0?0.24),2.10E-10,(0?0.17),0.879827017,(0.76?1),0.123082042,0.058618256,0.128927574,,,
TwinsUK,OTU,3926480,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__,0.10442072,0.239089256,Obese,0.0805,0.063872179,(0?0.19),1.18E-13,(0?0),0.936127821,(0.81?1),0.115736964,-0.036482031,0.304437991,,,
TwinsUK,OTU,305318,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.10508941,0.23941422,Lean,0.0092,0.230891203,(0?0.35),2.77E-13,(0?0),0.769108797,(0.65?0.9),0.271146398,0.053774241,0.434744314,,,
TwinsUK,OTU,332185,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.104840824,0.23941422,Lean,0.0531,0.204204073,(0?0.32),8.53E-14,(0?0.18),0.795795927,(0.68?0.92),0.239122123,0.053703792,0.37083666,,,
TwinsUK,OTU,369014,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.107221126,0.240309924,Obese,0.0271,0.20806066,(0?0.33),1.09E-14,(0?0),0.79193934,(0.67?0.92),0.255502918,0.036148692,0.438708452,,,
TwinsUK,OTU,1614788,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__catus,0.107597513,0.240309924,Lean,0.1548,0.182043965,(0?0.31),8.04E-13,(0?0),0.817956035,(0.69?0.95),0.180904702,0.087214787,0.18737983,,,
TwinsUK,OTU,178151,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.107499315,0.240309924,Obese,0.3338,0.08195208,(0?0.23),0.016553437,(0?0.17),0.901494483,(0.77?1),0.096601196,0.061368484,0.070465423,,,
TwinsUK,OTU,367889,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.107126855,0.240309924,Obese,0.2304,0.081720983,(0?0.2),2.02E-12,(0?0.14),0.918279017,(0.8?1),0.102301831,0.015142567,0.174318527,,,
TwinsUK,OTU,359872,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__,0.107131854,0.240309924,Obese,0.3547,0.07621803,(0?0.24),0.035433147,(0?0.18),0.888348823,(0.76?1),0.120891366,0.071310479,0.099161774,,,
TwinsUK,OTU,175509,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.106802112,0.240309924,Obese,0.1301,0.0103423,(0?0.14),5.72E-13,(0?0.09),0.9896577,(0.86?1),0.054929064,-0.054832608,0.219523345,,,
TwinsUK,OTU,198909,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__,0.106372592,0.240309924,Lean,0.5665,8.10E-12,(0?0.21),0.071309578,(0?0.17),0.928690422,(0.79?1),0.072912773,0.073943101,-0.002060657,,,
TwinsUK,OTU,177520,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__faecis,0.106403893,0.240309924,Obese,0.8413,2.71E-14,(0?0),0.099358589,(0?0.19),0.900641411,(0.81?1),-0.007805396,0.177821117,-0.371253025,,,
TwinsUK,OTU,174840,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.107993186,0.240602466,Obese,0.1851,0.169678873,(0?0.31),0.014292394,(0?0.22),0.816028733,(0.69?0.95),0.181964716,0.102475954,0.158977524,,,
TwinsUK,Genus,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces,NA,0.10828138,0.240654706,Obese,0.279,0.11012386,(0?0.33),0.086186389,(0?0.25),0.803689751,(0.67?0.93),0.198799465,0.136156057,0.125286816,,,
TwinsUK,OTU,177754,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.110117247,0.242364595,Lean,0.4079,0.047730524,(0?0.19),0.014998263,(0?0.14),0.937271213,(0.81?1),0.063690751,0.040848383,0.045684736,,,
TwinsUK,OTU,180171,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.109870144,0.242364595,Obese,0.7039,4.95E-13,(0?0.19),0.114243008,(0?0.21),0.885756992,(0.79?0.98),0.04207208,0.1706844,-0.25722464,,,
TwinsUK,OTU,4481195,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.109635172,0.242364595,Obese,0.7927,6.03E-14,(0?0),0.020128873,(0?0.12),0.979871127,(0.88?1),-0.055044921,0.076086183,-0.262262209,,,
TwinsUK,OTU,4435400,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.109559447,0.242364595,Obese,1,0,(0?0.21),0.096330821,(0?0.19),0.903669179,(0.81?1),0.078587346,0.111823294,-0.066471896,,,
TwinsUK,OTU,365621,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.110993811,0.243703802,Lean,0.7568,1.31E-13,(0?0.15),0.023782421,(0?0.12),0.976217579,(0.85?1),0.009981659,0.038161704,-0.05636009,,,
TwinsUK,OTU,184114,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.112103847,0.245547945,Lean,0.0855,0.165652799,(0?0.29),3.80E-12,(0?0.17),0.834347201,(0.71?0.96),0.200912221,0.033597341,0.33462976,,,
TwinsUK,Order,k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales,NA,0.113784751,0.246618667,Lean,0.1401,0.20776766,(0?0.44),0.109151539,(0?0.33),0.683080801,(0.56?0.82),0.314200852,0.217471882,0.19345794,,,
TwinsUK,Family,k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae,NA,0.113784751,0.246618667,Lean,0.1401,0.20776766,(0?0.44),0.109151539,(0?0.33),0.683080801,(0.56?0.82),0.314200852,0.217471882,0.19345794,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter,NA,0.113784751,0.246618667,Lean,0.1401,0.20776766,(0?0.44),0.109151539,(0?0.33),0.683080801,(0.56?0.82),0.314200852,0.217471882,0.19345794,,,
TwinsUK,OTU,368490,k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__,0.113296491,0.246618667,Lean,0.1407,0.207246395,(0?0.43),0.097334669,(0?0.31),0.695418936,(0.57?0.83),0.302726118,0.205031529,0.195389178,,,
TwinsUK,OTU,157338,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.113949219,0.246618667,Lean,0.2154,0.051201483,(0?0.18),3.56E-13,(0?0),0.948798517,(0.82?1),0.073693943,-0.000697473,0.148782831,,,
TwinsUK,OTU,176980,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__,0.115045483,0.247046497,Obese,0.0342,0.121322379,(0?0.25),4.15E-13,(0?0.11),0.878677621,(0.75?1),0.199074078,-0.045550811,0.489249777,,,
TwinsUK,OTU,180721,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.114779759,0.247046497,Lean,0.2802,0.114728457,(0?0.25),0.011282905,(0?0.19),0.873988637,(0.75?1),0.130431249,0.064472123,0.131918251,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus,NA,0.115505788,0.247046497,Obese,0.3264,0.086761691,(0?0.34),0.121715756,(0?0.27),0.791522553,(0.66?0.91),0.216578497,0.163919509,0.105317976,,,
TwinsUK,OTU,2996838,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.114692506,0.247046497,Lean,0.3466,0.075433671,(0?0.21),0.008614427,(0?0.15),0.915951902,(0.79?1),0.08441099,0.048864694,0.071092591,,,
TwinsUK,OTU,189067,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.115296406,0.247046497,Lean,0.7588,1.41E-13,(0?0),0.102354192,(0?0.2),0.897645808,(0.76?0.99),0.093001769,0.11258772,-0.039171902,,,
TwinsUK,Phylum,k__Bacteria.p__Actinobacteria,NA,0.11612659,0.247791245,Obese,0.0663,0.284519742,(0?0.39),5.01E-12,(0?0),0.715480258,(0.61?0.83),0.330343796,0.099079087,0.462529418,,,
TwinsUK,OTU,357046,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.118476718,0.252213904,Lean,1,0,(0?0.26),0.133507184,(0?0.23),0.866492816,(0.74?0.96),0.083927624,0.161275754,-0.15469626,,,
TwinsUK,OTU,177567,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.119088969,0.252924937,Obese,0.0064,0.242879085,(0.02?0.36),1.94E-13,(0?0),0.757120915,(0.64?0.89),0.282496969,0.05848919,0.448015557,,,
TwinsUK,Family,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae,NA,0.11965346,0.253531457,Obese,0.0392,0.260585113,(0?0.38),8.93E-14,(0?0),0.739414887,(0.62?0.88),0.25980923,0.118654071,0.282310319,,,
TwinsUK,OTU,180462,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.120451276,0.254628395,Obese,0.3149,0.099019786,(0?0.28),0.046339519,(0?0.21),0.854640695,(0.72?0.98),0.149607703,0.096918927,0.105377551,,,
TwinsUK,OTU,4357811,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.121341525,0.255915189,Obese,0.5305,4.72E-11,(0?0),0.034787839,(0?0.13),0.965212161,(0.86?1),-0.012001972,0.072822813,-0.16964957,,,
TwinsUK,OTU,175704,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.123145678,0.259119032,Obese,0.4779,0.009314931,(0?0.22),0.070527293,(0?0.17),0.920157776,(0.78?1),0.08429851,0.075575712,0.017445597,,,
TwinsUK,OTU,3530697,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.123485518,0.259234032,Obese,0.0597,0.082880567,(0?0.21),8.71E-14,(0?0),0.917119433,(0.79?1),0.134528667,-0.031122801,0.331302935,,,
TwinsUK,Genus,k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila,NA,0.124973813,0.259970577,Obese,0.3516,0.075502488,(0?0.3),0.095019393,(0?0.24),0.829478119,(0.7?0.94),0.181370952,0.129324735,0.104092433,,,
TwinsUK,OTU,199054,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.124980354,0.259970577,Obese,0.4758,0.006463273,(0?0.27),0.122482235,(0?0.22),0.871054492,(0.73?0.97),0.13098685,0.12820143,0.00557084,,,
TwinsUK,OTU,187868,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.124809427,0.259970577,Obese,0.751,5.69E-14,(0?0.12),0.011953078,(0?0.11),0.988046922,(0.88?1),-0.040859492,0.049830436,-0.181379857,,,
TwinsUK,OTU,4439469,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.124895408,0.259970577,Obese,0.8856,4.31E-15,(0?0),0.204765625,(0.11?0.29),0.795234375,(0.71?0.89),0.186826409,0.226474484,-0.079296149,,,
TwinsUK,OTU,4383953,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__,0.126128565,0.261759967,Lean,0.4812,0.002469408,(0?0.34),0.303012288,(0.04?0.39),0.694518304,(0.57?0.78),0.308441419,0.305539349,0.005804139,,,
TwinsUK,OTU,4481613,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens,0.127115557,0.263207383,Lean,1,0,(0?0.34),0.15970126,(0?0.25),0.84029874,(0.66?0.94),0.200463026,0.134793545,0.131338963,,,
TwinsUK,OTU,4414476,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.128287412,0.265030131,Lean,0.6726,1.83E-12,(0?0.15),0.047744805,(0?0.14),0.952255195,(0.85?1),-0.011624449,0.092642205,-0.208533308,,,
TwinsUK,OTU,179512,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__SMB53; s__,0.131844035,0.271760154,Lean,0.9024,1.51E-16,(0?0.14),0.028111021,(0?0.12),0.971888979,(0.88?1),-0.036523977,0.074964955,-0.222977864,,,
TwinsUK,OTU,182577,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.133378139,0.27430029,Lean,0.0643,0.192097629,(0.06?0.31),0,(0?0),0.807902371,(0.69?0.94),0.213666601,0.063808136,0.299716928,,,
TwinsUK,OTU,189524,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.13467455,0.276111028,Obese,0.0834,0.105009647,(0?0.23),2.00E-16,(0?0),0.894990353,(0.77?1),0.142635079,0.002929687,0.279410784,,,
TwinsUK,OTU,4356080,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]; g__; s__,0.134866113,0.276111028,Obese,0.2874,0.071544725,(0?0.2),2.71E-14,(0?0),0.928455275,(0.8?1),0.079673113,0.028988376,0.101369475,,,
TwinsUK,OTU,308544,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.136799824,0.27907069,Obese,0.1392,0.215111637,(0?0.38),0.048189544,(0?0.28),0.736698819,(0.62?0.87),0.275709725,0.152175637,0.247068177,,,
TwinsUK,OTU,4301511,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.136925773,0.27907069,Lean,0.8851,7.26E-18,(0?0.13),0.039157655,(0?0.13),0.960842345,(0.86?1),-0.056223446,0.107951329,-0.32834955,,,
TwinsUK,OTU,196100,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.138214013,0.281066081,Obese,0.1767,1.42E-06,(0?1),0.999933757,(0?1),6.48E-05,(0?1),0.061261629,-0.068912106,0.260347471,,,
TwinsUK,OTU,195937,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.14010266,0.284270799,Obese,0.0597,0.225047794,(0?0.35),1.01E-13,(0?0.2),0.774952206,(0.65?0.91),0.229922577,0.092481487,0.27488218,,,
TwinsUK,OTU,194660,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.144612941,0.292118141,Obese,0.6858,7.05E-13,(0?0),0.063560096,(0?0.16),0.936439904,(0.84?1),-0.004744406,0.11715753,-0.243803872,,,
TwinsUK,OTU,563572,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.144581202,0.292118141,Lean,1,0,(0?0.12),5.69E-13,(0?0.09),1,(0.88?1),0.006673284,-0.009821199,0.032988966,,,
TwinsUK,OTU,4396297,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.146722992,0.295723282,Lean,0.6778,8.71E-13,(0?0.21),0.099769896,(0?0.19),0.900230104,(0.79?1),0.082188533,0.112618331,-0.060859597,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__,NA,0.147350792,0.296331571,Lean,0.8017,1.52E-13,(0?0),0.146703945,(0?0.24),0.853296055,(0.76?0.95),0.130792989,0.15938242,-0.057178862,,,
TwinsUK,OTU,198626,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.149225714,0.297335859,Obese,0.0897,0.187215137,(0?0.31),8.96E-14,(0?0),0.812784863,(0.69?0.94),0.194825319,0.077416264,0.234818111,,,
TwinsUK,OTU,190162,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.148831116,0.297335859,Obese,0.2025,0.168808763,(0?0.29),7.35E-15,(0?0),0.831191237,(0.71?0.96),0.191425311,0.069004208,0.244842207,,,
TwinsUK,OTU,189548,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.148613674,0.297335859,Lean,0.0056,0.152941728,(0?0.28),2.44E-37,(0?0),0.847058272,(0.72?0.98),0.224471781,-0.02707907,0.503101702,,,
TwinsUK,OTU,195081,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__,0.149812787,0.297335859,Obese,0.0453,0.10614193,(0?0.23),2.66E-11,(0?0.13),0.89385807,(0.77?1),0.157222027,-0.015018638,0.344481329,,,
TwinsUK,OTU,176865,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.149708363,0.297335859,Obese,0.5263,2.46E-11,(0?0.26),0.120053418,(0?0.21),0.879946582,(0.74?0.98),0.119826213,0.123350483,-0.007048541,,,
TwinsUK,OTU,3327894,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis,0.149635893,0.297335859,Obese,0.7334,8.01E-16,(0?0.1),1.84E-13,(0?0.08),1,(0.9?1),-0.041620349,0.004091942,-0.091424581,,,
TwinsUK,OTU,187504,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.150855717,0.298753479,Lean,0.1042,0.177096631,(0.05?0.3),4.33E-14,(0?0),0.822903369,(0.7?0.95),0.204107168,0.050015343,0.30818365,,,
TwinsUK,OTU,181485,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__,0.151979691,0.300325086,Obese,0.6977,4.97E-13,(0?0),0.064049428,(0?0.16),0.935950572,(0.84?1),-0.052522742,0.144599971,-0.394245427,,,
TwinsUK,OTU,4232045,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.152863802,0.301416911,Obese,0.7323,2.31E-13,(0?0.14),0.005160212,(0?0.1),0.994839788,(0.86?1),-0.007738788,0.016195702,-0.04786898,,,
