Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,,,
TwinsUK,OTU,4402903,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,7.00236E-06,0.000282797,Lean,0.026,0.18641623,(0?0.31),1.78E-13,(0?0),0.81358377,(0.69?0.94),0.250824454,0.003451497,0.494745915,,,
TwinsUK,OTU,173927,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,6.21732E-06,0.000282797,Lean,0.4018,0.048092261,(0?0.27),0.08162407,(0?0.21),0.870283669,(0.73?0.98),0.128637646,0.10716925,0.042936793,,,
TwinsUK,OTU,181059,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,5.99224E-06,0.000282797,Lean,0.8497,4.48E-15,(0?0.21),0.119484139,(0?0.21),0.880515861,(0.77?0.98),0.071020763,0.156888262,-0.171734997,,,
TwinsUK,Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae,NA,9.33028E-06,0.000339249,Lean,0.014,0.290993023,(0.07?0.41),6.63E-14,(0?0.16),0.709006977,(0.59?0.83),0.333150809,0.076026156,0.514249306,,,
TwinsUK,Family,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__,NA,1.18658E-05,0.00038986,Lean,0.0152,0.291369163,(0.05?0.4),0,(0?0),0.708630837,(0.6?0.83),0.329820231,0.094368293,0.470903877,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__,NA,1.18658E-05,0.00038986,Lean,0.0152,0.291369163,(0.05?0.4),0,(0?0),0.708630837,(0.6?0.83),0.329820231,0.094368293,0.470903877,,,
TwinsUK,Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium,NA,1.24378E-05,0.00038986,Lean,0.0161,0.278663074,(0.06?0.39),9.10E-15,(0?0.16),0.721336926,(0.61?0.85),0.320952162,0.069842298,0.502219727,,,
TwinsUK,OTU,553080,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,1.21849E-05,0.00038986,Lean,0.0517,0.252496501,(0?0.37),4.17E-12,(0?0.2),0.747503499,(0.63?0.87),0.283699322,0.090166881,0.387064882,,,
TwinsUK,OTU,176318,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__,1.3449E-05,0.000397004,Lean,0.0003,0.355364859,(0.17?0.47),1.95E-13,(0?0),0.644635141,(0.53?0.77),0.404735837,0.088850355,0.631770964,,,
TwinsUK,OTU,199344,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,1.35392E-05,0.000397004,Obese,0.1393,0.191884404,(0?0.31),0,(0?0),0.808115596,(0.69?0.94),0.201593651,0.087313298,0.228560706,,,
TwinsUK,OTU,147969,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,1.46882E-05,0.000417236,Lean,0.5915,1.43E-11,(0?0),0.17925743,(0?0.27),0.82074257,(0.68?0.92),0.168074673,0.187004946,-0.037860546,,,
TwinsUK,OTU,3195723,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,1.75993E-05,0.000462957,Lean,0.031,0.261758311,(0.01?0.38),3.23E-13,(0?0.18),0.738241689,(0.62?0.86),0.297142269,0.08373536,0.426813818,,,
TwinsUK,OTU,4469576,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,1.73335E-05,0.000462957,Obese,0.0988,0.244497839,(0?0.44),0.076661616,(0?0.32),0.678840545,(0.56?0.81),0.340404548,0.191628022,0.297553052,,,
