,Dataset,Taxonomic Level,Traita,Taxonomyb,BMI              p valuec,BMI               q valued,Direction of association (Higher in)e,Permutation p valuef,Ag,A 95% CIh,Ci,C 95% CIj,Ek,E 95% CIl,rMZm,rDZn,2*(rMZ-rDZ)o,Unnamed: 17,Unnamed: 18,Unnamed: 19,taxa_or_feature,lower_in,higher_in
0,TwinsUK,OTU,4349261,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,2.53636e-07,3.84258e-05,Lean,0.0465,0.268487968,(0?0.38),3.89e-13,(0?0.22),0.731512032,(0.62?0.86),0.293830967,0.104401633,0.378858668,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__,ob,control
1,TwinsUK,Class,k__Bacteria;p__Tenericutes;c__RF3,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3,ob,control
2,TwinsUK,Order,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28,ob,control
3,TwinsUK,Family,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__,ob,control
4,TwinsUK,Genus,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__;g__,nan,2.24639e-07,3.84258e-05,Lean,0.0002,0.252833617,(0.1?0.37),3.37e-14,(0?0),0.747166383,(0.63?0.88),0.352077993,-0.02855576,0.761267506,,,,k__Bacteria;p__Tenericutes;c__RF3;o__ML615J;28;f__;g__,ob,control
5,TwinsUK,OTU,4377149,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,7.09332e-08,3.84258e-05,Lean,0.728,4.38e-13,(0?0),0.128660392,(0?0.22),0.871339608,(0.78?0.97),0.130600107,0.128982623,0.003234968,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
6,TwinsUK,OTU,300620,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,5.12213e-07,6.65145e-05,Lean,0.182,0.172888264,(0?0.3),0.004560478,(0?0.21),0.822551258,(0.7?0.96),0.182977743,0.088285972,0.189383542,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
7,TwinsUK,Phylum,k__Bacteria;p__Tenericutes,nan,6.62894e-07,7.53214e-05,Lean,0.0066,0.264666897,(0.06?0.38),9.04e-14,(0?0),0.735333103,(0.62?0.86),0.320917449,0.05291663,0.536001637,,,,k__Bacteria;p__Tenericutes,ob,control
8,TwinsUK,OTU,173876,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,9.62109e-07,9.7173e-05,Lean,0.6555,6.39e-12,(0?0),0.11308849,(0?0.21),0.88691151,(0.76?0.98),0.105870954,0.120384759,-0.02902761,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
9,TwinsUK,Family,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,nan,1.38817e-06,0.000126184,Lean,0.001,0.381940264,(0.21?0.49),4.2e-13,(0?0.11),0.618059736,(0.51?0.74),0.437752545,0.090711647,0.694081797,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae,ob,control
10,TwinsUK,Genus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,nan,1.55246e-06,0.000128289,Lean,0.0011,0.388470691,(0.21?0.5),1.56e-17,(0?0),0.611529309,(0.5?0.73),0.440227014,0.100142674,0.68016868,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__,ob,control
11,TwinsUK,OTU,192741,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,2.43047e-06,0.000184108,Lean,0.3829,0.060178423,(0?0.28),0.082654605,(0?0.22),0.857166972,(0.72?0.97),0.143951305,0.11425504,0.059392531,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__,ob,control
12,TwinsUK,OTU,178845,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,3.11949e-06,0.000218124,Lean,0.1265,0.231373767,(0?0.45),0.102611806,(0?0.33),0.666014427,(0.55?0.8),0.333649778,0.218697663,0.229904231,,,,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__,ob,control
